INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
University of South Carolina-Aiken,Aiken,SC,29801,1,0.5294,1033,10502,20702,3029,5,10200
University of South Carolina-Beaufort,Bluffton,SC,29909,1,0.6445,1010,10647,21423,2011,5,10776
University of South Carolina-Columbia,Columbia,SC,29208,1,0.7231,1282,11862,31962,25550,5,20100
University of South Carolina-Lancaster,Lancaster,SC,29720-0889,1,0.6476,991,6948,17328,813,5,10380
University of South Carolina-Salkehatchie,Allendale,SC,29810-0617,1,0.5882,875,6948,17328,549,5,10380
University of South Carolina-Sumter,Sumter,SC,29150-2498,1,0.6933,984,6948,17328,633,5,10380
University of South Carolina-Union,Union,SC,29379-0729,1,0.7453,887,6948,17328,284,5,10380
Coastal Carolina University,Conway,SC,29526,1,0.6119,1089,11200,25872,9546,5,14672
South Carolina State University,Orangeburg,SC,29117-0001,1,0.7826,898,10740,21120,2489,5,10380
University of South Carolina-Upstate,Spartanburg,SC,29303-4999,1,0.5784,1010,11520,22848,5149,5,11328
Spartanburg Methodist College,Spartanburg,SC,29301-5899,2,0.611,919,16860,16860,790,5,0
Winthrop University,Rock Hill,SC,29733,1,0.7339,1101,15220,29136,4710,5,13916
Wofford College,Spartanburg,SC,29303-3663,2,0.6907,1312,41955,41955,1675,5,0
Augustana University,Sioux Falls,SD,57197-0001,2,0.678,1245,31960,31960,1704,4,0
Black Hills State University,Spearfish,SD,57799-9500,1,0.8695,1065,8602,11602,2736,4,3000
Dakota State University,Madison,SD,57042-1799,1,0.8436,1123,9147,12077,2024,4,2930
Dakota Wesleyan University,Mitchell,SD,57301-4398,2,0.7604,1096,27030,27030,774,4,0
Mount Marty College,Yankton,SD,57078-3724,2,0.6652,1085,26310,26310,566,4,0
Northern State University,Aberdeen,SD,57401-7198,1,0.8783,1083,8280,11210,1488,4,2930
Presentation College,Aberdeen,SD,57401-1280,2,0.9628,1019,19830,19830,749,4,0
South Dakota School of Mines and Technology,Rapid City,SD,57701-3995,1,0.8339,1267,10400,14580,2295,4,4180
South Dakota State University,Brookings,SD,57007-1898,1,0.9137,1144,8441,11689,9704,4,3248
University of Sioux Falls,Sioux Falls,SD,57105-1699,2,0.9201,1124,27980,27980,1174,4,0
University of South Dakota,Vermillion,SD,57069-2390,1,0.8691,1125,8772,12019,6171,4,3247
Austin Peay State University,Clarksville,TN,37044,1,0.9013,1085,7913,23153,9090,5,15240
Baptist Memorial College of Health Sciences,Memphis,TN,38104,2,0.5372,1155,11542,11542,1050,5,0
Belmont University,Nashville,TN,37212-3757,2,0.8119,1256,32820,32820,6443,5,0
Bethel University,McKenzie,TN,38201,2,0.9359,970,16552,16552,3975,5,0
Bryan College-Dayton,Dayton,TN,37321,2,0.5434,1137,25600,25600,892,5,0
Carson-Newman University,Jefferson City,TN,37760,2,0.6736,1130,27400,27400,1633,5,0
Christian Brothers University,Memphis,TN,38104,2,0.5263,1180,31870,31870,1521,5,0
Cumberland University,Lebanon,TN,37087,2,0.5408,1066,21810,21810,1658,5,0
Lipscomb University,Nashville,TN,37204-3951,2,0.6043,1239,30932,30932,2973,5,0
East Tennessee State University,Johnson City,TN,37614,1,0.8547,1122,8679,26463,10881,5,17784
Fisk University,Nashville,TN,37208-4501,2,0.4541,1014,21480,21480,664,5,0
Freed-Hardeman University,Henderson,TN,38340-2399,2,0.9532,1208,21950,21950,1319,5,0
Hiwassee College,Madisonville,TN,37354-4001,2,0.6364,970,16469,16469,302,5,0
Johnson University,Knoxville,TN,37998,2,0.9798,1107,14920,14920,808,5,0
King University,Bristol,TN,37620-2699,2,0.5141,1084,28572,28572,1736,5,0
Lane College,Jackson,TN,38301-4598,2,0.4847,845,10690,10690,1420,5,0
Le Moyne-Owen College,Memphis,TN,38126-6595,2,1,845,11196,11196,862,5,0
Lee University,Cleveland,TN,37311,2,0.8504,1176,16730,16730,4265,5,0
Lincoln Memorial University,Harrogate,TN,37752-9900,2,0.6534,1098,21410,21410,1821,5,0
Martin Methodist College,Pulaski,TN,38478-2799,2,0.987,1045,23800,23800,845,5,0
Maryville College,Maryville,TN,37804-5907,2,0.4927,1138,34196,34196,1151,5,0
Memphis College of Art,Memphis,TN,38104-2764,2,0.5404,1125,33130,33130,277,5,0
University of Memphis,Memphis,TN,38152,1,0.8482,1106,9317,21029,15901,5,11712
Middle Tennessee State University,Murfreesboro,TN,37132,1,0.5935,1124,8612,26348,18600,5,17736
O'More College of Design,Franklin,TN,37064,2,0.3146,1030,29880,29880,148,5,0
Rhodes College,Memphis,TN,38112-1690,2,0.5105,1362,46504,46504,1975,5,0
Tennessee Wesleyan University,Athens,TN,37303,2,0.5991,1059,23800,23800,928,5,0
The University of Tennessee-Chattanooga,Chattanooga,TN,37403-2598,1,0.8279,1164,8664,24782,10097,5,16118
The University of Tennessee-Knoxville,Knoxville,TN,37996,1,0.7697,1280,12970,31390,22151,5,18420
The University of Tennessee-Martin,Martin,TN,38238,1,0.6151,1125,9236,14996,5522,5,5760
Tennessee Technological University,Cookeville,TN,38505-0001,1,0.644,1192,8513,24377,9084,5,15864
Trevecca Nazarene University,Nashville,TN,37210,2,0.7038,1121,25100,25100,2112,5,0
Tusculum University,Greeneville,TN,37743,2,0.8864,1029,23700,23700,1484,5,0
Union University,Jackson,TN,38305-3697,2,0.5998,1243,31510,31510,2099,5,0
Vanderbilt University,Nashville,TN,37240,2,0.1085,1515,47664,47664,6856,5,0
